gi|1000108|gb|AAA92500|	 melatonin receptor [Xenopus laevis]
gi|6175039|sp|O42569|	 RecName: Full=Transcription factor Sox-2; Short=XSox2; Short=XlSox-2; AltName: Full=SRY (sex determining region Y)-box 2
gi|6175061|sp|P18115|	 RecName: Full=Thyroid hormone receptor alpha-B; Short=TRalphaB; AltName: Full=Nuclear receptor subfamily 1 group A member 1-B
gi|6177821|gb|BAA86061|	 stat 3 [Xenopus laevis]
gi|6180071|gb|AAF05773|	 growth hormone A [Xenopus laevis]
gi|6180073|gb|AAF05774|	 growth hormone B [Xenopus laevis]
gi|6180075|gb|AAF05775|	 growth hormone receptor [Xenopus laevis]
gi|6180077|gb|AAF05776|	 prolactin receptor A [Xenopus laevis]
gi|6180079|gb|AAF05777|	 prolactin receptor B [Xenopus laevis]
gi|61966518|gb|CAI72575|	 lysyl oxidase [Xenopus laevis]
gi|61966520|gb|CAI72576|	 lysyl oxidase-like 1 [Xenopus laevis]
gi|62001150|gb|AAX58277|	 c-myc [Xenopus laevis]
gi|62026270|gb|AAH92101|	 MGC114731 protein [Xenopus laevis]
gi|62026275|gb|AAH92112|	 MGC114747 protein [Xenopus laevis]
gi|62026279|gb|AAH92125|	 MGC132043 protein [Xenopus laevis]
gi|62026284|gb|AAH92117|	 Pomcb-A protein [Xenopus laevis]
gi|62026288|gb|AAH92121|	 Unknown (protein for IMAGE:6951074) [Xenopus laevis]
gi|62026292|gb|AAH92108|	 LOC733181 protein [Xenopus laevis]
gi|62026296|gb|AAH92128|	 LOC733184 protein [Xenopus laevis]
gi|62026300|gb|AAH92120|	 MGC115334 protein [Xenopus laevis]
gi|62026740|gb|AAH92102|	 MGC83501 protein [Xenopus laevis]
gi|62026746|gb|AAH92106|	 LOC733180 protein [Xenopus laevis]
gi|62026755|gb|AAH92110|	 MGC154917 protein [Xenopus laevis]
gi|62026760|gb|AAH92113|	 Unknown (protein for IMAGE:7011349) [Xenopus laevis]
gi|62027439|gb|AAH92103|	 MGC115313 protein [Xenopus laevis]
gi|62027448|gb|AAH92114|	 LOC733182 protein [Xenopus laevis]
gi|62027452|gb|AAH92115|	 LOC495127 protein [Xenopus laevis]
gi|62027455|gb|AAH92118|	 MGC115038 protein [Xenopus laevis]
gi|62027460|gb|AAH92119|	 MGC115333 protein [Xenopus laevis]
gi|62027464|gb|AAH92122|	 LOC733183 protein [Xenopus laevis]
gi|62027467|gb|AAH92124|	 Unknown (protein for IMAGE:6956768) [Xenopus laevis]
gi|62027471|gb|AAH92126|	 Dnajc25 protein [Xenopus laevis]
gi|62027509|gb|AAH92100|	 Txndc14 protein [Xenopus laevis]
gi|62027517|gb|AAH92104|	 LOC733179 protein [Xenopus laevis]
gi|62027604|gb|AAH92127|	 MGC114751 protein [Xenopus laevis]
gi|62027609|gb|AAH92123|	 MGC68786 protein [Xenopus laevis]
gi|62027612|gb|AAH92107|	 MGC115147 protein [Xenopus laevis]
gi|62028525|gb|AAH92105|	 MGC115143 protein [Xenopus laevis]
gi|62085236|gb|AAX63020|	 proopiomelanocortin A [Xenopus laevis]
gi|62089476|gb|AAH92146|	 LOC733185 protein [Xenopus laevis]
gi|62089517|gb|AAH92154|	 MGC115171 protein [Xenopus laevis]
gi|62089522|gb|AAH92157|	 Unknown (protein for IMAGE:7008089) [Xenopus laevis]
gi|62089524|gb|AAH92158|	 MGC115066 protein [Xenopus laevis]
gi|62089537|gb|AAH92147|	 MGC98877 protein [Xenopus laevis]
gi|62089571|gb|AAH92156|	 MGC115049 protein [Xenopus laevis]
gi|62122653|gb|BAD93292|	 26S proteasome subunit [Xenopus laevis]
gi|62122655|gb|BAD93293|	 26S proteasome subunit [Xenopus laevis]
gi|62122657|gb|BAD93294|	 proteasome subunit xrpn10 [Xenopus laevis]
gi|62131536|gb|AAX68626|	 RAG-1 [Xenopus laevis]
gi|62131588|gb|AAX68652|	 RAG-1 [Xenopus laevis]
gi|62132930|gb|AAH92148|	 Unknown (protein for MGC:98998) [Xenopus laevis]
gi|62132943|gb|AAH92152|	 Unknown (protein for IMAGE:6949850) [Xenopus laevis]
gi|62132946|gb|AAH92151|	 MGC115120 protein [Xenopus laevis]
gi|62132970|gb|AAH92153|	 Unknown (protein for IMAGE:6949741) [Xenopus laevis]
gi|62176946|gb|CAG25615|	 cytoglobin [Xenopus laevis]
gi|62176948|gb|CAG25618|	 globin Y [Xenopus laevis]
gi|62178562|gb|AAX73201|	 sororin [Xenopus laevis]
gi|62185609|gb|AAH92389|	 MGC85062 protein [Xenopus laevis]
gi|62185614|gb|AAH92244|	 LOC733187 protein [Xenopus laevis]
gi|62185616|gb|AAH92246|	 Eif3b protein [Xenopus laevis]
gi|62185667|gb|AAH92306|	 Fcp1 protein [Xenopus laevis]
gi|62185669|gb|AAH92307|	 LOC445873 protein [Xenopus laevis]
gi|62185671|gb|AAH92329|	 MGC115024 protein [Xenopus laevis]
gi|62185673|gb|AAH92342|	 MGC115034 protein [Xenopus laevis]
gi|62185676|gb|AAH92323|	 LOC443584 protein [Xenopus laevis]
gi|62185678|gb|AAH92303|	 LOC733188 protein [Xenopus laevis]
gi|62185680|gb|AAH92309|	 Myo19 protein [Xenopus laevis]
gi|62185682|gb|AAH92311|	 Unknown (protein for IMAGE:6856933) [Xenopus laevis]
gi|62185684|gb|AAH92328|	 MGC115104 protein [Xenopus laevis]
gi|62185686|gb|AAH92344|	 Unknown (protein for IMAGE:6950304) [Xenopus laevis]
gi|62185688|gb|AAH92320|	 MGC115178 protein [Xenopus laevis]
gi|62185690|gb|AAH92335|	 MGC84079 protein [Xenopus laevis]
gi|62185693|gb|AAH92338|	 MGC115300 protein [Xenopus laevis]
gi|62185695|gb|AAH92316|	 MGC115312 protein [Xenopus laevis]
gi|62185699|gb|AAH92348|	 LOC495039 protein [Xenopus laevis]
gi|62185714|gb|AAH92308|	 LOC446234 protein [Xenopus laevis]
gi|62185716|gb|AAH92312|	 MGC115096 protein [Xenopus laevis]
gi|62185718|gb|AAH92317|	 MGC115335 protein [Xenopus laevis]
gi|62185720|gb|AAH92324|	 MGC115185 protein [Xenopus laevis]
gi|62185722|gb|AAH92325|	 MGC115037 protein [Xenopus laevis]
gi|62185724|gb|AAH92326|	 LOC733190 protein [Xenopus laevis]
gi|62185726|gb|AAH92330|	 LOC734149 protein [Xenopus laevis]
gi|62185728|gb|AAH92331|	 Sri protein [Xenopus laevis]
gi|62185730|gb|AAH92336|	 MGC115068 protein [Xenopus laevis]
gi|62185732|gb|AAH92337|	 MGC115067 protein [Xenopus laevis]
gi|62185740|gb|AAH92388|	 LOC733193 protein [Xenopus laevis]
gi|62185744|gb|AAH92243|	 Sh3tc1 protein [Xenopus laevis]
gi|62185753|gb|AAH92327|	 LOC443702 protein [Xenopus laevis]
gi|62185755|gb|AAH92314|	 MGC115028 protein [Xenopus laevis]
gi|62185758|gb|AAH92310|	 MGC115280 protein [Xenopus laevis]
gi|62185761|gb|AAH92343|	 MGC115316 protein [Xenopus laevis]
gi|62185763|gb|AAH92387|	 LOC733192 protein [Xenopus laevis]
gi|62185765|gb|AAH92390|	 MGC85042 protein [Xenopus laevis]
gi|62185793|gb|AAH92315|	 LOC733189 protein [Xenopus laevis]
gi|62185795|gb|AAH92340|	 LOC414677 protein [Xenopus laevis]
gi|62185797|gb|AAH92346|	 Il1b-A protein [Xenopus laevis]
gi|62185799|gb|AAH92334|	 LOC733191 protein [Xenopus laevis]
gi|62201373|gb|AAH93477|	 Unknown (protein for MGC:98540) [Xenopus laevis]
gi|62203123|gb|AAH92347|	 LOC414678 protein [Xenopus laevis]
gi|62203128|gb|AAH92318|	 MGC115135 protein [Xenopus laevis]
gi|62203131|gb|AAH92332|	 LOC733195 protein [Xenopus laevis]
gi|62203134|gb|AAH92319|	 LOC443572 protein [Xenopus laevis]
gi|62203137|gb|AAH92322|	 LOC446285 protein [Xenopus laevis]
gi|62204129|gb|AAH92245|	 MGC98303 protein [Xenopus laevis]
gi|62204141|gb|AAH92321|	 MGC115057 protein [Xenopus laevis]
gi|62204144|gb|AAH92304|	 LOC733194 protein [Xenopus laevis]
gi|62240986|gb|AAX77665|	 leptin precursor [Xenopus laevis]
gi|6225517|sp|Q91605|	 RecName: Full=Transcription factor XE1.1
gi|6225751|sp|P70010|	 RecName: Full=Nucleoside diphosphate kinase A1; Short=NDK A1; Short=NDP kinase A1; AltName: Full=NM23/nucleoside diphosphate kinase A1
gi|6225752|sp|P70011|	 RecName: Full=Nucleoside diphosphate kinase A2; Short=NDK A2; Short=NDP kinase A2; AltName: Full=NM23/nucleoside diphosphate kinase A2
gi|6226654|sp|P52551|	 RecName: Full=Myb-related protein B; Short=B-Myb; AltName: Full=Myb-like protein 2; AltName: Full=Myb-related protein 1; AltName: Full=XMYB1
gi|62286459|sp|P70039|	 RecName: Full=Adenomatous polyposis coli homolog; Short=Protein APC
gi|62286534|sp|Q66KY3|	 RecName: Full=Protein CutA homolog; Flags: Precursor
gi|62286812|sp|Q6GM84|	 RecName: Full=GTP cyclohydrolase 1 feedback regulatory protein; Short=GFRP; AltName: Full=GTP cyclohydrolase I feedback regulatory protein
gi|62287003|sp|Q5M7B7|	 RecName: Full=Optineurin
gi|62287957|sp|Q5FWL7|	 RecName: Full=Palmitoyltransferase ZDHHC15; AltName: Full=Zinc finger DHHC domain-containing protein 15 homolog; Short=DHHC-15
gi|623350|gb|CAA87638|	 preprocholecystokinin [Xenopus laevis]
gi|623352|gb|CAA87639|	 preprocholecystokinin [Xenopus laevis]
gi|623598|gb|AAA60936|	 poly(A)-binding protein [Xenopus laevis]
gi|623600|gb|AAA60937|	 C protein [Xenopus laevis]
gi|623602|gb|AAC14195|	 importin alpha 1a [Xenopus laevis]
gi|623604|gb|AAC14196|	 importin alpha 1b [Xenopus laevis]
gi|62362580|gb|AAX81596|	 CR2 [Xenopus laevis]
gi|62362582|gb|AAX81597|	 CR2 [Xenopus laevis]
gi|62362584|gb|AAX81598|	 CR3 short transcript variant [Xenopus laevis]
gi|62362586|gb|AAX81599|	 CR3 long transcript variant [Xenopus laevis]
gi|624634|gb|AAA80483|	 cytoplasmic polyadenylation element binding protein [Xenopus laevis]
gi|62471417|gb|AAH93489|	 MGC98819 protein [Xenopus laevis]
gi|62471473|gb|AAH93547|	 MGC114733 protein [Xenopus laevis]
gi|62471475|gb|AAH93545|	 MGC114945 protein [Xenopus laevis]
gi|62471477|gb|AAH93575|	 LOC443705 protein [Xenopus laevis]
gi|62471479|gb|AAH93551|	 Sox-D protein [Xenopus laevis]
gi|62471481|gb|AAH93565|	 MGC115040 protein [Xenopus laevis]
gi|62471483|gb|AAH93578|	 Dnajc25 protein [Xenopus laevis]
gi|62471485|gb|AAH93552|	 Unknown (protein for IMAGE:6947552) [Xenopus laevis]
gi|62471487|gb|AAH93571|	 MGC115163 protein [Xenopus laevis]
gi|62471489|gb|AAH93580|	 MGC115197 protein [Xenopus laevis]
gi|62471491|gb|AAH93538|	 MGC115275 protein [Xenopus laevis]
gi|62471493|gb|AAH93582|	 LOC733197 protein [Xenopus laevis]
gi|62471495|gb|AAH93585|	 MGC115318 protein [Xenopus laevis]
gi|62471498|gb|AAH93553|	 MGC115323 protein [Xenopus laevis]
gi|62471500|gb|AAH93564|	 MGC115350 protein [Xenopus laevis]
gi|62471503|gb|AAH93537|	 MGC115276 protein [Xenopus laevis]
gi|62471505|gb|AAH93560|	 LOC398334 protein [Xenopus laevis]
gi|62471507|gb|AAH93550|	 MGC115029 protein [Xenopus laevis]
gi|62471509|gb|AAH93548|	 MGC115109 protein [Xenopus laevis]
gi|62471511|gb|AAH93549|	 MGC115310 protein [Xenopus laevis]
gi|62471513|gb|AAH93491|	 MGC98945 protein [Xenopus laevis]
gi|62471523|gb|AAH93532|	 LOC398531 protein [Xenopus laevis]
gi|62471525|gb|AAH93539|	 MGC115278 protein [Xenopus laevis]
gi|62471527|gb|AAH93542|	 LOC494681 protein [Xenopus laevis]
gi|62471529|gb|AAH93557|	 MGC115132 protein [Xenopus laevis]
gi|62471531|gb|AAH93561|	 Rnasek-b protein [Xenopus laevis]
gi|62471533|gb|AAH93567|	 MGC84388 protein [Xenopus laevis]
gi|62471536|gb|AAH93574|	 LOC780759 protein [Xenopus laevis]
gi|62471538|gb|AAH93576|	 LOC398730 protein [Xenopus laevis]
gi|62471554|gb|AAH93540|	 MGC114722 protein [Xenopus laevis]
gi|62471556|gb|AAH93543|	 MGC114944 protein [Xenopus laevis]
gi|62471560|gb|AAH93534|	 MGC115014 protein [Xenopus laevis]
gi|62471563|gb|AAH93554|	 Unknown (protein for MGC:115326) [Xenopus laevis]
gi|62471565|gb|AAH93559|	 Cdk5r2 protein [Xenopus laevis]
gi|62471573|gb|AAH93492|	 LOC733196 protein [Xenopus laevis]
gi|62471581|gb|AAH93546|	 Med16 protein [Xenopus laevis]
gi|62471583|gb|AAH93577|	 MGC114950 protein [Xenopus laevis]
gi|62471585|gb|AAH93530|	 LOC446268 protein [Xenopus laevis]
gi|625010|gb|AAC60749|	 angiotensin II receptor [Xenopus laevis]
gi|62510613|sp|Q6GPQ6|	 RecName: Full=Endothelial differentiation-related factor 1 homolog; Short=EDF-1
gi|62510625|sp|Q7ZX41|	 RecName: Full=Guanine nucleotide-binding protein-like 3; AltName: Full=Nucleostemin-like protein
gi|62510670|sp|O73754|	 RecName: Full=Gremlin-1; AltName: Full=Cysteine knot superfamily 1, BMP antagonist 1; Flags: Precursor
gi|62511031|sp|Q6NRG6|	 RecName: Full=Spindle assembly abnormal protein 6 homolog
gi|62511110|sp|Q642R9|	 RecName: Full=Rab3 GTPase-activating protein catalytic subunit
gi|62529296|gb|AAX84947|	 dead end [Xenopus laevis]
gi|6252982|gb|BAA86260|	 XOTX5 [Xenopus laevis]
gi|62530438|gb|AAX85448|	 smooth muscle alpha actin [Xenopus laevis]
gi|62531239|gb|AAH93476|	 Unknown (protein for IMAGE:7199081) [Xenopus laevis]
gi|62533158|gb|AAH93490|	 LOC733199 protein [Xenopus laevis]
gi|62533178|gb|AAH93541|	 MGC114941 protein [Xenopus laevis]
gi|62533180|gb|AAH93558|	 Unknown (protein for IMAGE:6949210) [Xenopus laevis]
gi|62533182|gb|AAH93572|	 LOC733203 protein [Xenopus laevis]
gi|62533184|gb|AAH93535|	 Catna1 protein [Xenopus laevis]
gi|62533186|gb|AAH93566|	 LOC733202 protein [Xenopus laevis]
gi|62533188|gb|AAH93568|	 MGC115169 protein [Xenopus laevis]
gi|62533190|gb|AAH93536|	 LOC733200 protein [Xenopus laevis]
gi|62533194|gb|AAH93533|	 MGC81170 protein [Xenopus laevis]
gi|62533196|gb|AAH93563|	 LOC733201 protein [Xenopus laevis]
gi|62533198|gb|AAH93579|	 LOC733204 protein [Xenopus laevis]
gi|62533200|gb|AAH93584|	 LOC733205 protein [Xenopus laevis]
gi|62533217|gb|AAH93531|	 LOC443710 protein [Xenopus laevis]
gi|62533219|gb|AAH93556|	 Nrl34-A protein [Xenopus laevis]
gi|62533221|gb|AAH93581|	 LOC446283 protein [Xenopus laevis]
gi|62533223|gb|AAH93586|	 Unknown (protein for IMAGE:6947870) [Xenopus laevis]
gi|6273357|gb|AAF06333|	 DNA methyltransferase 1 [Xenopus laevis]
gi|6273776|gb|AAF06359|	 frizzled-2 [Xenopus laevis]
gi|62739288|gb|AAH94105|	 LOC432234 protein [Xenopus laevis]
gi|62739290|gb|AAH94109|	 MGC114734 protein [Xenopus laevis]
gi|62739292|gb|AAH94178|	 LOC443721 protein [Xenopus laevis]
gi|62739294|gb|AAH94141|	 LOC443724 protein [Xenopus laevis]
gi|62739296|gb|AAH94080|	 MGC114748 protein [Xenopus laevis]
gi|62739298|gb|AAH94204|	 LOC495174 protein [Xenopus laevis]
gi|62739300|gb|AAH94077|	 Unknown (protein for IMAGE:7009710) [Xenopus laevis]
gi|62739305|gb|AAH94087|	 MGC115001 protein [Xenopus laevis]
gi|62739307|gb|AAH94146|	 LOC443578 protein [Xenopus laevis]
gi|62739311|gb|AAH94189|	 Elavl2-a protein [Xenopus laevis]
gi|62739313|gb|AAH94114|	 MGC115031 protein [Xenopus laevis]
gi|62739315|gb|AAH94171|	 MGC115036 protein [Xenopus laevis]
gi|62739317|gb|AAH94131|	 MGC115046 protein [Xenopus laevis]
gi|62739319|gb|AAH94085|	 LOC446264 protein [Xenopus laevis]
gi|62739321|gb|AAH94088|	 LOC431836 protein [Xenopus laevis]
gi|62739323|gb|AAH94149|	 LOC443689 protein [Xenopus laevis]
gi|62739325|gb|AAH94191|	 LOC443719 protein [Xenopus laevis]
gi|62739327|gb|AAH94117|	 MGC115119 protein [Xenopus laevis]
gi|62739329|gb|AAH94125|	 LOC733211 protein [Xenopus laevis]
gi|62739331|gb|AAH94199|	 Dnerb protein [Xenopus laevis]
gi|62739333|gb|AAH94135|	 Ptcd3 protein [Xenopus laevis]
gi|62739335|gb|AAH94209|	 Crtc3 protein [Xenopus laevis]
gi|62739337|gb|AAH94089|	 Prnp protein [Xenopus laevis]
gi|62739339|gb|AAH94153|	 MGC115258 protein [Xenopus laevis]
gi|62739341|gb|AAH94147|	 XCMT1 protein [Xenopus laevis]
gi|62739344|gb|AAH94161|	 MGC115285 protein [Xenopus laevis]
gi|62739346|gb|AAH94159|	 MGC115292 protein [Xenopus laevis]
gi|62739348|gb|AAH94167|	 LOC733215 protein [Xenopus laevis]
gi|62739350|gb|AAH94165|	 MGC115301 protein [Xenopus laevis]
gi|62739353|gb|AAH94169|	 Shank2 protein [Xenopus laevis]
gi|62739355|gb|AAH94121|	 MGC115332 protein [Xenopus laevis]
gi|62739357|gb|AAH94127|	 MGC115353 protein [Xenopus laevis]
gi|62739359|gb|AAH94128|	 MGC115356 protein [Xenopus laevis]
gi|62739361|gb|AAH94090|	 Unknown (protein for MGC:115253) [Xenopus laevis]
gi|62739363|gb|AAH94183|	 LOC446224 protein [Xenopus laevis]
gi|62739365|gb|AAH94148|	 MGC115264 protein [Xenopus laevis]
gi|62739367|gb|AAH94100|	 LOC733210 protein [Xenopus laevis]
gi|62739371|gb|AAH94122|	 Nol11 protein [Xenopus laevis]
gi|62739373|gb|AAH94136|	 MGC115059 protein [Xenopus laevis]
gi|62739376|gb|AAH94092|	 LOC443579 protein [Xenopus laevis]
gi|62739378|gb|AAH94173|	 LOC733216 protein [Xenopus laevis]
gi|62739380|gb|AAH94197|	 LOC443706 protein [Xenopus laevis]
gi|62739382|gb|AAH94137|	 LOC733214 protein [Xenopus laevis]
gi|62739384|gb|AAH94181|	 LOC733217 protein [Xenopus laevis]
gi|62739386|gb|AAH94151|	 LOC443678 protein [Xenopus laevis]
gi|62739389|gb|AAH94200|	 MGC115052 protein [Xenopus laevis]
gi|62740091|gb|AAH94083|	 MGC114755 protein [Xenopus laevis]
gi|62740093|gb|AAH94093|	 LOC733207 protein [Xenopus laevis]
gi|62740095|gb|AAH94096|	 LOC733209 protein [Xenopus laevis]
gi|62740097|gb|AAH94097|	 Unknown (protein for MGC:115016) [Xenopus laevis]
gi|62740099|gb|AAH94106|	 LOC445846 protein [Xenopus laevis]
gi|62740101|gb|AAH94107|	 MGC114730 protein [Xenopus laevis]
gi|62740103|gb|AAH94115|	 MGC115032 protein [Xenopus laevis]
gi|62740105|gb|AAH94129|	 MGC115145 protein [Xenopus laevis]
gi|62740107|gb|AAH94134|	 Unknown (protein for MGC:115056) [Xenopus laevis]
gi|62740109|gb|AAH94140|	 Acpt protein [Xenopus laevis]
gi|62740111|gb|AAH94150|	 MGC115260 protein [Xenopus laevis]
gi|62740113|gb|AAH94158|	 MGC115288 protein [Xenopus laevis]
gi|62740115|gb|AAH94164|	 Unknown (protein for MGC:115306) [Xenopus laevis]
gi|62740117|gb|AAH94185|	 MGC115023 protein [Xenopus laevis]
gi|62740119|gb|AAH94187|	 MGC115287 protein [Xenopus laevis]
gi|62740121|gb|AAH94188|	 MGC115290 protein [Xenopus laevis]
gi|62740123|gb|AAH94192|	 MGC115044 protein [Xenopus laevis]
gi|62740125|gb|AAH94207|	 MGC115192 protein [Xenopus laevis]
gi|62740127|gb|AAH94210|	 MGC115205 protein [Xenopus laevis]
gi|62740160|gb|AAH94142|	 LOC495097 protein [Xenopus laevis]
gi|62740162|gb|AAH94079|	 Calm2a-prov protein [Xenopus laevis]
gi|62740164|gb|AAH94081|	 LOC446303 protein [Xenopus laevis]
gi|62740166|gb|AAH94180|	 LOC445853 protein [Xenopus laevis]
gi|62740168|gb|AAH94203|	 LOC398046 protein [Xenopus laevis]
gi|62740171|gb|AAH94186|	 LOC432191 protein [Xenopus laevis]
gi|62740173|gb|AAH94211|	 POLD3 protein [Xenopus laevis]
gi|62740175|gb|AAH94094|	 LOC733208 protein [Xenopus laevis]
gi|62740177|gb|AAH94101|	 Masking protein [Xenopus laevis]
gi|62740179|gb|AAH94112|	 MGC115308 protein [Xenopus laevis]
gi|62740182|gb|AAH94195|	 MGC115344 protein [Xenopus laevis]
gi|62740238|gb|AAH94156|	 MGC114718 protein [Xenopus laevis]
gi|62740240|gb|AAH94110|	 MGC114738 protein [Xenopus laevis]
gi|62740244|gb|AAH94152|	 MGC115008 protein [Xenopus laevis]
gi|62740246|gb|AAH94098|	 MGC115015 protein [Xenopus laevis]
gi|62740248|gb|AAH94103|	 LOC443590 protein [Xenopus laevis]
gi|62740258|gb|AAH94132|	 LOC733212 protein [Xenopus laevis]
gi|62740260|gb|AAH94074|	 MGC68650 protein [Xenopus laevis]
gi|62740262|gb|AAH94124|	 Ptpra protein [Xenopus laevis]
gi|62766057|gb|AAX99221|	 GABA neurotransmitter transporter 1 [Xenopus laevis]
gi|62821751|gb|BAD95801|	 enhancer of split related protein 3/7b [Xenopus laevis]
gi|62821753|gb|BAD95802|	 enhancer of split related protein 1b [Xenopus laevis]
gi|62821755|gb|BAD95803|	 enhancer of split related protein 9b [Xenopus laevis]
gi|62823180|gb|AAY15242|	 NBS1 [Xenopus laevis]
gi|62825900|gb|AAH94082|	 MGC114753 protein [Xenopus laevis]
gi|62825902|gb|AAH94108|	 MGC114946 protein [Xenopus laevis]
gi|62825904|gb|AAH94084|	 Ccnl1 protein [Xenopus laevis]
gi|62825907|gb|AAH94154|	 Sdk2-a protein [Xenopus laevis]
gi|62825909|gb|AAH94126|	 Vamp2-a protein [Xenopus laevis]
gi|62825911|gb|AAH94118|	 LOC494829 protein [Xenopus laevis]
gi|62825913|gb|AAH94174|	 LOC443607 protein [Xenopus laevis]
gi|62825915|gb|AAH94130|	 MGC115150 protein [Xenopus laevis]
gi|62825917|gb|AAH94073|	 MGC115155 protein [Xenopus laevis]
gi|62825919|gb|AAH94075|	 LOC443711 protein [Xenopus laevis]
gi|62825921|gb|AAH94076|	 LOC397788 protein [Xenopus laevis]
gi|62825923|gb|AAH94179|	 LOC733225 protein [Xenopus laevis]
gi|62825925|gb|AAH94208|	 Unknown (protein for IMAGE:7020324) [Xenopus laevis]
gi|62825927|gb|AAH94095|	 LOC733221 protein [Xenopus laevis]
gi|62825929|gb|AAH94190|	 MGC115123 protein [Xenopus laevis]
gi|62825931|gb|AAH94194|	 LOC733226 protein [Xenopus laevis]
gi|62825933|gb|AAH94102|	 LOC733222 protein [Xenopus laevis]
gi|62825957|gb|AAH94072|	 LOC733220 protein [Xenopus laevis]
gi|62825960|gb|AAH94111|	 LOC734150 protein [Xenopus laevis]
gi|62825962|gb|AAH94116|	 Jup protein [Xenopus laevis]
gi|62825964|gb|AAH94133|	 LOC733223 protein [Xenopus laevis]
gi|62825966|gb|AAH94143|	 LOC495357 protein [Xenopus laevis]
gi|62825968|gb|AAH94166|	 MGC115026 protein [Xenopus laevis]
gi|62825970|gb|AAH94168|	 LOC779031 protein [Xenopus laevis]
gi|62825972|gb|AAH94170|	 LOC733224 protein [Xenopus laevis]
gi|62825974|gb|AAH94175|	 LOC734214 protein [Xenopus laevis]
gi|62825976|gb|AAH94184|	 Mtm1 protein [Xenopus laevis]
gi|62825978|gb|AAH94196|	 LOC733227 protein [Xenopus laevis]
gi|62825980|gb|AAH94205|	 LOC494723 protein [Xenopus laevis]
gi|62825986|gb|AAH94201|	 MGC115168 protein [Xenopus laevis]
gi|62826006|gb|AAH94145|	 Vdac2 protein [Xenopus laevis]
gi|62826010|gb|AAH94138|	 Unknown (protein for MGC:115184) [Xenopus laevis]
gi|62826012|gb|AAH94157|	 LOC495418 protein [Xenopus laevis]
gi|62826019|gb|AAH94091|	 LOC445881 protein [Xenopus laevis]
gi|62826021|gb|AAH94176|	 LOC446292 protein [Xenopus laevis]
gi|62826028|gb|AAH94172|	 Unknown (protein for MGC:115122) [Xenopus laevis]
gi|62826031|gb|AAH94198|	 LOC733228 protein [Xenopus laevis]
gi|62826033|gb|AAH94139|	 LOC443574 protein [Xenopus laevis]
gi|62860678|gb|AAY16547|	 Xcla4B [Xenopus laevis]
gi|62871603|gb|AAH94398|	 XEXT1 protein [Xenopus laevis]
gi|62871605|gb|AAH94402|	 LOC733229 protein [Xenopus laevis]
gi|62871607|gb|AAH94405|	 Ptpa-A-prov protein [Xenopus laevis]
gi|62871612|gb|AAH90152|	 Unknown (protein for MGC:98437) [Xenopus laevis]
gi|62871614|gb|AAH90153|	 Unknown (protein for MGC:98463) [Xenopus laevis]
gi|62871616|gb|AAH90155|	 MGC98504 protein [Xenopus laevis]
gi|62871618|gb|AAH90156|	 Unknown (protein for IMAGE:7198737) [Xenopus laevis]
gi|62871669|gb|AAH94270|	 MGC115188 protein [Xenopus laevis]
gi|62871671|gb|AAH94263|	 MGC115291 protein [Xenopus laevis]
gi|62871681|gb|AAH90151|	 Unknown (protein for MGC:98430) [Xenopus laevis]
gi|62871683|gb|AAH90154|	 MGC98504 protein [Xenopus laevis]
gi|62871685|gb|AAH90157|	 Unknown (protein for MGC:98569) [Xenopus laevis]
gi|62871721|gb|AAH94397|	 Lsm2 protein [Xenopus laevis]
gi|62871723|gb|AAH94401|	 MGC84969 protein [Xenopus laevis]
gi|62871738|gb|AAH94261|	 MGC115022 protein [Xenopus laevis]
gi|62871740|gb|AAH94260|	 MGC115336 protein [Xenopus laevis]
gi|62871744|gb|AAH94403|	 MGC84955 protein [Xenopus laevis]
gi|62871746|gb|AAH94406|	 Unknown (protein for MGC:85019) [Xenopus laevis]
gi|62871748|gb|AAH94404|	 MGC85029 protein [Xenopus laevis]
gi|62871770|gb|AAH94262|	 LOC779032 protein [Xenopus laevis]
gi|62871772|gb|AAH94267|	 MGC115296 protein [Xenopus laevis]
gi|6288730|gb|AAF06720|	 REST [Xenopus laevis]
gi|6288732|gb|AAF06721|	 REST-T4 [Xenopus laevis]
gi|62896385|gb|CAI26296|	 Exportin 6 [Xenopus laevis]
gi|62899707|sp|Q5PPZ5|	 RecName: Full=Bridging integrator 3 homolog
gi|62900684|sp|Q6NRY2|	 RecName: Full=Nucleolar protein 6
gi|62900946|sp|Q5XHG6|	 RecName: Full=Tetraspanin-31-A; Short=Tspan-31-A; AltName: Full=Sarcoma-amplified sequence homolog A
gi|62900962|sp|Q66J69|	 RecName: Full=E3 ubiquitin-protein ligase RING2-A; AltName: Full=RING finger protein 1B-A; Short=RING1b-A; AltName: Full=RING finger protein 2-A
gi|62901018|sp|Q7ZWW7|	 RecName: Full=Tetraspanin-31-B; Short=Tspan-31-B; AltName: Full=Sarcoma-amplified sequence homolog B
gi|62901081|sp|Q6GLI9|	 RecName: Full=DNA-directed RNA polymerase I subunit RPA49; Short=RNA polymerase I subunit A49; AltName: Full=DNA-directed RNA polymerase I subunit E; AltName: Full=RNA polymerase I-associated factor 1; AltName: Full=RNA polymerase I-associated factor 53
gi|62944548|gb|AAY22122|	 egg envelope glycoprotein [Xenopus laevis]
gi|62944550|gb|AAY22123|	 egg envelope glycoprotein [Xenopus laevis]
